
OccupationCode|EducationLevel
53-1042.01|Bachelor's Degree
53-1042.01|High School Diploma - or the equivalent (for example, GED)
53-1043.00|Bachelor's Degree
53-1043.00|High School Diploma - or the equivalent (for example, GED)
53-1043.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
53-1043.00|Some College Courses
53-2011.00|Associate's Degree (or other 2-year degree)
53-2011.00|Bachelor's Degree
53-2011.00|High School Diploma - or the equivalent (for example, GED)
53-2011.00|Less than a High School Diploma
53-2011.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
53-2012.00|Associate's Degree (or other 2-year degree)
53-2012.00|Bachelor's Degree
53-2012.00|High School Diploma - or the equivalent (for example, GED)
53-2012.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
53-2021.00|Associate's Degree (or other 2-year degree)
53-2021.00|Bachelor's Degree
53-2021.00|High School Diploma - or the equivalent (for example, GED)
53-2021.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
53-2021.00|Some College Courses
53-2022.00|Some College Courses
53-2031.00|Bachelor's Degree
53-2031.00|High School Diploma - or the equivalent (for example, GED)
53-2031.00|Some College Courses
53-3011.00|High School Diploma - or the equivalent (for example, GED)
53-3011.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
53-3011.00|Some College Courses
53-3032.00|High School Diploma - or the equivalent (for example, GED)
53-3032.00|Less than a High School Diploma
53-3032.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
53-3033.00|High School Diploma - or the equivalent (for example, GED)
53-3033.00|Less than a High School Diploma
53-3052.00|High School Diploma - or the equivalent (for example, GED)
53-3052.00|Less than a High School Diploma
53-4011.00|High School Diploma - or the equivalent (for example, GED)
53-4011.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
53-4011.00|Some College Courses
53-4013.00|High School Diploma - or the equivalent (for example, GED)
53-4013.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
53-4031.00|Associate's Degree (or other 2-year degree)
53-4031.00|High School Diploma - or the equivalent (for example, GED)
53-4031.00|Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)
